grdiname,site,expt,layer,GPS Latitude Coordinate (N),GPS Longitude Coordinate (W),MeanAnnTempC,MeanAnnPrecipMM
NZC85_20160701_4C3E_S1B,NZC85,4C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_6C3E_S1B,NZC85,6C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_8C3E_S1B,NZC85,8C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_14C3E_S1B,NZC85,14C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_2C3E_S2B,NZC85,2C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_4C3E_S2B,NZC85,4C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_6C3E_S2B,NZC85,6C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_8C3E_S2B,NZC85,8C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_13C3E_S2B,NZC85,13C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_2C3E_S3B,NZC85,2C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_4C3E_S3B,NZC85,4C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_6C3E_S3B,NZC85,6C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_8C3E_S3B,NZC85,8C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_12C3E_S3B,NZC85,12C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_2C3E_S4B,NZC85,2C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_4C3E_S4B,NZC85,4C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_6C3E_S4B,NZC85,6C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_8C3E_S4B,NZC85,8C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_9C3E_S4B,NZC85,9C3E,Moss,47.6358,83.24617,1.7,797
ILC45_20160701_2C3E_S1B,ILC45,2C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_4C3E_S1B,ILC45,4C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_6C3E_S1B,ILC45,6C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_8C3E_S1B,ILC45,8C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_15C3E_S1B,ILC45,15C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_2C3E_S2B,ILC45,2C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_4C3E_S2B,ILC45,4C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_6C3E_S2B,ILC45,6C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_8C3E_S2B,ILC45,8C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_15C3E_S2B,ILC45,15C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_2C3E_S3B,ILC45,2C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_4C3E_S3B,ILC45,4C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_6C3E_S3B,ILC45,6C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_8C3E_S3B,ILC45,8C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_15C3E_S3B,ILC45,15C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_2C3E_S4B,ILC45,2C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_4C3E_S4B,ILC45,4C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_6C3E_S4B,ILC45,6C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_8C3E_S4B,ILC45,8C3E,Moss,47.69326,83.58954,1.7,797
ILC45_20160701_15C3E_S4B,ILC45,15C3E,Moss,47.69326,83.58954,1.7,797
NZC85_20160701_2C3E_S1O,NZC85,2C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_4C3E_S1O,NZC85,4C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_6C3E_S1O,NZC85,6C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_8C3E_S1O,NZC85,8C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_15C3E_S1O,NZC85,15C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_2C3E_S2O,NZC85,2C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_4C3E_S2O,NZC85,4C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_6C3E_S2O,NZC85,6C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_8C3E_S2O,NZC85,8C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_15C3E_S2O,NZC85,15C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_2C3E_S3O,NZC85,2C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_4C3E_S3O,NZC85,4C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_6C3E_S3O,NZC85,6C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_8C3E_S3O,NZC85,8C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_15C3E_S3O,NZC85,15C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_2C3E_S4O,NZC85,2C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_4C3E_S4O,NZC85,4C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_6C3E_S4O,NZC85,6C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_8C3E_S4O,NZC85,8C3E,Organic,47.6358,83.24617,1.7,797
NZC85_20160701_15C3E_S4O,NZC85,15C3E,Organic,47.6358,83.24617,1.7,797
ILC45_20160701_2C3E_S1O,ILC45,2C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_4C3E_S1O,ILC45,4C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_6C3E_S1O,ILC45,6C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_8C3E_S1O,ILC45,8C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_15C3E_S1O,ILC45,15C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_2C3E_S2O,ILC45,2C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_4C3E_S2O,ILC45,4C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_6C3E_S2O,ILC45,6C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_8C3E_S2O,ILC45,8C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_15C3E_S2O,ILC45,15C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_2C3E_S3O,ILC45,2C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_4C3E_S3O,ILC45,4C3E,Organic,47.69326,83.58954,1.7,797
ILC45_20160701_6C3E_S3O,ILC45,6C3E,Organic,47.69326,83.58954,1.7,797
